"ACTIVITY_KEY"	"ACTIVITYALT_KEY"	"ACTIVITYNAME"	"ACTIVITYSHORTNAME"	"ACTIVITYSHORTNAMEENUM"	"ACTIVITYGROUP"	"ACTIVITYSUBGROUP"	"ACTIVITYSEGMENT"	"ACTIVITYVALIDCODE"	"INDUSTRYALT_KEY"	"BSR1ACODE"	"BSR1BCODE"	"FOODPRO"	"ACTIVITYLBRCODE"	"ASSETCLASS"	"BSR3CODE"	"CIBIL_CONSUMERACTYPE"	"COMODITYCODE"	"SECTORLBRCODE"	"SICKINDUSTRYCODE"	"SICKSSIINDALT_KEY"	"ASSETCLASSNORM"	"OTHERASSETS"	"MINORACTIVITY"	"SHGACTIVITY"	"PROD"	"INV"	"NF"	"ACT_TYPE"	"LBRGROUP"	"LBRSUBGROUP"	"LBRCODE"	"ACT_PH"	"CIBILBUSINESSINDUSTRYTYPE"	"SICCODE"	"ACTIVITYSUBGROUPDESCRIPTION"	"INTREST_FREQ"	"SRCSYSACTIVITYCODE"	"SRCSYSACTIVITYCODE1"	"SRCSYSACTIVITYNAME"	"SRCSYSACTIVITYNAME1"	"DESTSYSACTIVITYCODE"	"AUTHORISATIONSTATUS"	"EFFECTIVEFROMTIMEKEY"	"EFFECTIVETOTIMEKEY"	"CREATEDBY"	"DATECREATED"	"MODIFIEDBY"	"DATEMODIFIE"	"APPROVEDBY"	"DATEAPPROVED"	"D2KTIMESTAMP"	"VCI"	"IRBMARK"	"EWSINDUSTRYALT_KEY"	"BSEINDUSTRYALT_KEY"	"EWSKEYSECTORALT_KEY"	"NEWACTIVITYSEGMENT"	"ALLIED_AGR"
27	1206	"COMBINE HARVESTER"	"COMB HARVESTER"	"COMB HARVESTER"	"AGRICULTURE"	"AG-FM"	" "	"N"		"01151"	"120"		""	"NORMAL"	""	""	"999"	""	""	95	"AGRI"	"C"	"E"	"E"	"C"	"C"	"E"	"IV-AG"	"FARM MECHANISM"	"MISCELLANEOUS"	17	""	"09"	""	"AGRICULTURE- FARM MECHANIZATION"	"Y"	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F14E2	""	""				"FARM-CREDIT"	"N"
171	2435	"GROWING OF PULSES"	"GRWN PULSES"	"GRWN PULSES"	"AGRICULTURE"	"FARM-CROP"	" "	"Y"		"01102"	"102"		""	"NORMAL"	""	"53"	"999"	""	""	95	"AGRI"	""	""	""	""	""	""	""	""	""		""	"09"	""	"AGRICULTURE- FARM CROP LOANS"	"Y"	"2435"	""	"GROWING OF PULSES"	""	""	""	1400	49999	""		""		""		00000000000F14E3	""	""				"FARM-CREDIT"	"N"
72	1805	"BULLS FOR SEMEN"	"BULL"	"BULL"	"AGRICULTURE"	"AH-OTH"	" "	"N"		"01201"	"131"		""	"NORMAL"	""	""	""	""	""		"AGRI"	""	""	""	""	""	""	""	""	""		""	"09"	""	"ANIMAL HUSBANDARY-OTHERS"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F1572	""	""				" "	"Y"
3018	1807	"GOAT"	"GOAT-AGRI"	"GOAT-AGRI"	"AGRICULTURE"	"AGR-OTH"	" "	"N"		"1202"	""		""	""	""	""	"999"	""	""		"AGRI"	""	""	""	""	""	""	""	""	""		""	"09"	""	"AGRICULTURE-OTHERS"	""	""	""	""	""	""	""	3287	49999	"D2K"	11-MAR-14	"D2K"		""		00000000000F1573	""	""				"FARM-CREDIT"	"N"
2085	2704	"BARLEY"	"BARLEY"	"BARLEY"	"AGRICULTURE"	"FARM-CROP"	"CASH CROP"	"N"		"01101"	"101"		""	"NORMAL"	""	""	"999"	""	""		"AGRI"	"E"	"E"	"E"	"C"	"E"	"E"	"PD-AG"	"PLANTATION/HORTICULTURE"	"MISCELLANEOUS"	29	"C"	"09"	""	"AGRICULTURE- FARM CROP LOANS"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F1574	""	""				"FARM-CREDIT"	"N"
361	3314	"EDU LOAN FOR BUSINESS MANAGEMENT"	"EDU-LOAN-BUSI-MGMT"	"EDU-LOAN-BUSI-MGMT"	"EDUCATION"	"EDU"	" "	"Y"		"95014"	"874"		""	"NORMAL"	""	"08"	"999"	""	""	95	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"C"	""	"OTHER PRIORITY SECTOR"	"EDUCATION LOANS"	76	""	"11"	""	"EDUCATION LOAN"	""	"3314"	""	"EDU LOAN FOR BUSINESS MANAGEMENT"	""	""	""	1400	49999	""		""		""		00000000000F1575	""	""				" "	"N"
3020	1812	"SHEEP"	"SHEEP-AGRI"	"SHEEP-AGRI"	"AGRICULTURE"	"AGR-OTH"	" "	"N"		"1202"	""		""	""	""	""	"999"	""	""		"AGRI"	""	""	""	""	""	""	""	""	""		""	"09"	""	"AGRICULTURE-OTHERS"	""	""	""	""	""	""	""	3287	49999	"D2K"	11-MAR-14	"D2K"		""		00000000000F1576	""	""				"FARM-CREDIT"	"N"
74	1900	"MISCELLENEOUS (AGR-ALLIED)"	"OTH ANML FARMING"	"OTH ANML FARMING"	"AGRICULTURE"	"OTH-ALLIED"	" "	"Y"		"01209"	"139"		""	"NORMAL"	""	"53"	"999"	""	""	95	"AGRI"	""	""	""	""	""	""	""	""	""		""	"09"	""	"AGRICULTURE-OTHERS"	""	"1900"	""	"MISCELLENEOUS (AGR-ALLIED)"	""	""	""	1400	49999	""		""		""		00000000000F1577	""	""				"FARM-CREDIT"	"N"
687	4575	"REPAIRING OF OTHER HOME APPLIANCE"	"REP-OTH-HOME-APPLNC"	"REP-OTH-HOME-APPLNC"	"SERVICES"	"SERVICES"	" "	"N"		"93102"	"714"		""	"NORMAL"	""	""	"999"	""	""	95	"NONAGRI"	"E"	"C"	"C"	"C"	"E"	"C"	"NF"	"NON FARM SECTOR & SSI"	"TINY SECTOR"	67	""	"06"	""	"SERVICES ACTIVITIES"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F1578	""	""				" "	"N"
363	3316	"EDU LOAN FOR MATERIAL MANAGEMENT"	"EDU-LOAN-MTRL-MGMT"	"EDU-LOAN-MTRL-MGMT"	"EDUCATION"	"EDU"	" "	"N"		"95014"	"874"		""	"NORMAL"	""	""	"999"	""	""	95	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"C"	""	"OTHER PRIORITY SECTOR"	"EDUCATION LOANS"	76	""	"11"	""	"EDUCATION LOAN"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F1579	""	""				" "	"N"
689	4577	"WATCH/CLOCK REPAIRING"	"WATCH-CLOCK-REP"	"WATCH-CLOCK-REP"	"SERVICES"	"SERVICES"	" "	"N"		"93102"	"714"		""	"NORMAL"	""	""	"999"	""	""	95	"NONAGRI"	"E"	"C"	"C"	"C"	"E"	"C"	"NF"	"NON FARM SECTOR & SSI"	"TINY SECTOR"	67	""	"06"	""	"SERVICES ACTIVITIES"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F157A	""	""				" "	"N"
365	3318	"EDU LOAN FOR LEATHER TECHNOLOGY"	"EDU-LOAN-LATHR-TECH"	"EDU-LOAN-LATHR-TECH"	"EDUCATION"	"EDU"	" "	"N"		"95014"	"874"		""	"NORMAL"	""	""	"999"	""	""	95	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"C"	""	"OTHER PRIORITY SECTOR"	"EDUCATION LOANS"	76	""	"11"	""	"EDUCATION LOAN"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F157B	""	""				" "	"N"
691	4579	"BLOCK MAKERS (PRINTING)"	"BLOCK-MAKER-PRNTNG"	"BLOCK-MAKER-PRNTNG"	"SERVICES"	"SERVICES"	" "	"Y"		"74101"	"711"		""	"NORMAL"	""	"00"	"999"	""	""	95	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"C"	"NF"	"NON FARM SECTOR & SSI"	"TINY SECTOR"	67	""	"06"	""	"SERVICES ACTIVITIES"	""	"4579"	""	"BLOCK MAKERS (PRINTING)"	""	""	""	1400	49999	""		""		""		00000000000F157C	""	""				" "	"N"
367	3320	"EDU LOAN FOR PILOT TRAINING"	"EDU-LOAN-PILOT-TRNG"	"EDU-LOAN-PILOT-TRNG"	"EDUCATION"	"EDU"	" "	"Y"		"95014"	"874"		""	"NORMAL"	""	"08"	"999"	""	""	95	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"C"	""	"OTHER PRIORITY SECTOR"	"EDUCATION LOANS"	76	""	"11"	""	"EDUCATION LOAN"	""	"3320"	""	"EDU LOAN FOR PILOT TRAINING"	""	""	""	1400	49999	""		""		""		00000000000F157D	""	""				" "	"N"
693	4581	"NON STAR SMALL HOTELS (LODGING & BOARDING)"	"NON STAR SMALL"	"NON STAR SMALL"	"SERVICES"	"SERVICES"	" "	"N"		"55101"	"712"		""	"NORMAL"	""	""	"999"	""	""	95	"NONAGRI"	""	""	""	""	""	""	""	""	""		""	"06"	""	"SERVICES ACTIVITIES"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F157E	""	""				" "	"N"
369	3322	"EDU LOAN FOR MICRO BIOLOGY"	"EDU-LOAN-MICRO-BIO"	"EDU-LOAN-MICRO-BIO"	"EDUCATION"	"EDU"	" "	"Y"		"95014"	"874"		""	"NORMAL"	""	"08"	"999"	""	""	95	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"C"	""	"OTHER PRIORITY SECTOR"	"EDUCATION LOANS"	76	""	"11"	""	"EDUCATION LOAN"	""	"3322"	""	"EDU LOAN FOR MICRO BIOLOGY"	""	""	""	1400	49999	""		""		""		00000000000F157F	""	""				" "	"N"
696	4584	"FAST FOOD CENTERS"	"FAST-FOOD-CNTR"	"FAST-FOOD-CNTR"	"SERVICES"	"SERVICES"	" "	"Y"		"55201"	"712"		""	"NORMAL"	""	"00"	"999"	""	""	95	"NONAGRI"	"E"	"E"	"C"	"E"	"E"	"C"	"NF"	"NON FARM SECTOR & SSI"	"MISCELLANEOUS"	71	""	"06"	""	"SERVICES ACTIVITIES"	""	"4584"	""	"FAST FOOD CENTERS"	""	""	""	1400	49999	""		""		""		00000000000F1580	""	""				" "	"N"
371	3324	"EDU LOAN FOR SUGAR TECHNOLOGY"	"EDU-LOAN-SUGR-TECH"	"EDU-LOAN-SUGR-TECH"	"EDUCATION"	"EDU"	" "	"N"		"95014"	"874"		""	"NORMAL"	""	""	"999"	""	""	95	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"C"	""	"OTHER PRIORITY SECTOR"	"EDUCATION LOANS"	76	""	"11"	""	"EDUCATION LOAN"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F1581	""	""				" "	"N"
698	4586	"HOTELS,MOTELS,RESORT"	"HOT MOT RES"	"HOT MOT RES"	"SERVICES"	"SERVICES"	" "	"N"		"55101"	"712"		""	"NORMAL"	""	""	"999"	""	""	95	"NONAGRI"	""	""	""	""	""	""	""	""	""		""	"06"	""	"SERVICES ACTIVITIES"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F1582	""	""				" "	"N"
373	3326	"EDU LOAN FOR COMPUTER EDUCATION ? PRIVATE INSTITUTES"	"EDU-LOAN-CMP-PVT"	"EDU-LOAN-CMP-PVT"	"EDUCATION"	"EDU"	" "	"N"		"95014"	"874"		""	"NORMAL"	""	""	"999"	""	""	95	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"C"	""	"OTHER PRIORITY SECTOR"	"EDUCATION LOANS"	76	""	"11"	""	"EDUCATION LOAN"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F1583	""	""				" "	"N"
2130	4588	"AIR CONDITIONERS FOR COMMERCIAL USE"	"AIRCONDITIONER-COMM"	"AIRCONDITIONER-COMM"	"SERVICES"	"SERVICES"	" "	"N"		"93102"	"714"		""	"NORMAL"	""	""	"999"	""	""		"NONAGRI"	""	""	""	""	""	""	""	""	""		""	"06"	""	"SERVICES ACTIVITIES"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F1584	""	""				" "	"N"
375	3329	"EDU LOAN FOR DENTAL"	"DENTAL"	"DENTAL"	"EDUCATION"	"EDU"	" "	"Y"		"95014"	"874"		""	"NORMAL"	""	"08"	"999"	""	""		"NONAGRI"	""	""	""	""	""	""	""	""	""		""	"11"	""	"EDUCATION LOAN"	""	"3329"	""	"EDU LOAN FOR DENTAL"	""	""	""	1400	49999	""		""		""		00000000000F1585	""	""				" "	"N"
701	4591	"HAIR DRESSER/BEAUTY PARLORS"	"HAIR-DRSR-BEUTY-PRLR"	"HAIR-DRSR-BEUTY-PRLR"	"SERVICES"	"SERVICES"	" "	"N"		"93002"	"719"		""	"NORMAL"	""	"00"	"999"	""	""	95	"NONAGRI"	"E"	"C"	"E"	"C"	"E"	"C"	"NF"	"NON FARM SECTOR & SSI"	"TINY SECTOR"	67	""	"06"	""	"SERVICES ACTIVITIES"	""	""	""	""	""	""	""	1400	49999	""		""		""		00000000000F1586	""	""				" "	"N"
380	3395	"EDU LOAN FOR EDUCATION LOAN UPTO CLASS 12"	"EDU LN UPTO 12"	"EDU LN UPTO 12"	"EDUCATION"	"EDU"	" "	"N"		"95014"	"874"		""	"NORMAL"	""	""	"999"	""	""		"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"C"	""	"OTHER PRIORITY SECTOR"	"EDUCATION LOANS"	76	""	"11"	""	"EDUCATION LOAN"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F1587	""	""				" "	"N"
717	4609	"SANITATION SERVICES(HIRING OF SEPTIC CLEANER)"	"SANITATION-SERV"	"SANITATION-SERV"	"SERVICES"	"SERVICES"	" "	"N"		"74301"	"719"		""	"NORMAL"	""	""	"999"	""	""	95	"NONAGRI"	""	""	""	""	""	""	""	""	""		""	"06"	""	"SERVICES ACTIVITIES"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F1588	""	""				" "	"N"
383	3399	"ANY OTHER EDUCATIONAL LOAN"	"ANY-OTH-EDU-LOAN"	"ANY-OTH-EDU-LOAN"	"EDUCATION"	"EDU"	" "	"Y"		"95014"	"874"		""	"NORMAL"	""	"08"	"999"	""	""	95	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"E"	""	"OTHER PRIORITY SECTOR"	"EDUCATION LOANS"	76	""	"11"	""	"EDUCATION LOAN"	""	"3399"	""	"EDU-ANY OTHER EDUCATIONAL LOAN"	""	""	""	1400	49999	""		""		""		00000000000F1589	""	""				" "	"N"
719	4612	"VIDEO LIBRARIES, GAME PARLORS"	"VIDEO-LIAB-GAME-PRLR"	"VIDEO-LIAB-GAME-PRLR"	"SERVICES"	"SERVICES"	" "	"N"		"92109"	"713"		""	"NORMAL"	""	""	"999"	""	""	95	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"C"	"NF"	"NON FARM SECTOR & SSI"	"MISCELLANEOUS"	71	""	"06"	""	"SERVICES ACTIVITIES"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F158A	""	""				" "	"N"
399	3450	"LOAN TO STATE HOUSING BOARDS"	"STAT-HOUS-BRD"	"STAT-HOUS-BRD"	"HOUSING"	"HOUS-INDR"	" "	"N"		"65935"	"830"		""	"NORMAL"	""	""	"999"	""	""	95	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"E"	""	"OTHER PRIORITY SECTOR"	"HOUSING LOANS"	77	""	"11"	""	"HOUSING-INDIRECT"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F158B	""	""				" "	"N"
721	4614	"WATER PARKS/ SCIENCE PARKS/ AMUSEMENT PARKS"	"WATRPRK-SCPRK-AMUPRK"	"WATRPRK-SCPRK-AMUPRK"	"SERVICES"	"SERVICES"	" "	"N"		"92401"	"713"		""	"NORMAL"	""	""	"999"	""	""	95	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"E"	""	"NON FARM SECTOR & SSI"	"MISCELLANEOUS"	71	""	"06"	""	"SERVICES ACTIVITIES"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F158C	""	""				" "	"N"
401	3453	"LOAN TO HOUSING FINANCE COMPANIES"	"HOUS-FIN-CO"	"HOUS-FIN-CO"	"HOUSING"	"HOUS-INDR"	" "	"N"		"65923"	"830"		""	"NORMAL"	""	""	"999"	""	""	95	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"E"	""	"OTHER PRIORITY SECTOR"	"HOUSING LOANS"	77	""	"11"	""	"HOUSING-INDIRECT"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F158D	""	""				" "	"N"
723	4616	"MOTION PICTURE DISTRIBUTION"	"MOTION-PIC-DISTRI"	"MOTION-PIC-DISTRI"	"SERVICES"	"SERVICES"	" "	"N"		"92101"	"713"		""	"NORMAL"	""	""	"999"	""	""	95	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"E"	""	"NON FARM SECTOR & SSI"	"MISCELLANEOUS"	71	""	"06"	""	"SERVICES ACTIVITIES"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F158E	""	""				" "	"N"
404	3455	"LOAN TO PRIMARY CO-OP. GROUP HOUSING SOCIETY"	"LN PRIM GR HOU SOC"	"LN PRIM GR HOU SOC"	"HOUSING"	"HOUS-INDR"	" "	"N"		"65935"	"830"		""	"NORMAL"	""	""	"999"	""	""	95	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"E"	""	"OTHER PRIORITY SECTOR"	"HOUSING LOANS"	77	""	"11"	""	"HOUSING-INDIRECT"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F158F	""	""				" "	"N"
725	4618	"TELECASTING"	"TELECASTING"	"TELECASTING"	"SERVICES"	"SERVICES"	" "	"N"		"92109"	"713"		""	"NORMAL"	""	""	"999"	""	""	95	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"E"	""	"NON FARM SECTOR & SSI"	"MISCELLANEOUS"	71	""	"06"	""	"SERVICES ACTIVITIES"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F1590	""	""				" "	"N"
727	4620	"BOTANICAL/ZOOLOGICAL GARDENS"	"BOTNICL-XOOLOGY-GRDN"	"BOTNICL-XOOLOGY-GRDN"	"SERVICES"	"SERVICES"	" "	"N"		"92301"	"713"		""	"NORMAL"	""	""	"999"	""	""	95	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"E"	""	"NON FARM SECTOR & SSI"	"MISCELLANEOUS"	71	""	"06"	""	"SERVICES ACTIVITIES"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F1591	""	""				" "	"N"
578	4208	"CASHEW KERNELS"	"CASHEW-KERNELS-RTL"	"CASHEW-KERNELS-RTL"	"TRADING"	"RTL"	" "	"N"		"52201"	"520"		""	"NORMAL"	""	""	"020"	""	""	95	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"E"	"NF"	"OTHER PRIORITY SECTOR"	"RETAIL TRADE/SMALL BUSINESS"	74	""	"04"	""	"RETAIL TRADE"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F15AD	""	""				" "	"N"
2115	2772	"RAGI"	"RAGI"	"RAGI"	"AGRICULTURE"	"FARM-CROP"	"CASH CROP"	"N"		"01101"	"101"		""	"NORMAL"	""	""	"999"	""	""		"AGRI"	"E"	"E"	"E"	"C"	"E"	"E"	"PD-AG"	"CROP LOANS"	"OTHER MILLETS"	85	""	"09"	""	"AGRICULTURE- FARM CROP LOANS"	"Y"	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F15AE	""	""				"FARM-CREDIT"	"N"
580	4210	"OTHER SPICES EXCLUDING PEPPER"	"OTH-SPIC-EXCLDG-RTL"	"OTH-SPIC-EXCLDG-RTL"	"TRADING"	"RTL"	" "	"N"		"52201"	"520"		""	"NORMAL"	""	""	"017"	""	""	95	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"E"	"NF"	"PLANTATION/HORTICULTURE"	"SPICES"	28	""	"04"	""	"RETAIL TRADE"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F15AF	""	""				" "	"N"
2117	2777	"BENGAL GRAM"	"BENGAL GRAM"	"BENGAL GRAM"	"AGRICULTURE"	"FARM-CROP"	"CASH CROP"	"N"		"01102"	"102"		""	"NORMAL"	""	""	"999"	""	""		"AGRI"	"E"	"E"	"E"	"C"	"E"	"E"	"PD-AG"	"CROP LOANS"	"PULSES"	89	"P"	"09"	""	"AGRICULTURE- FARM CROP LOANS"	"Y"	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F15B0	""	""				"FARM-CREDIT"	"N"
581	4218	"WATCH STRAPS / CHAINS"	"WATCH-STRAP-RTL"	"WATCH-STRAP-RTL"	"TRADING"	"RTL"	" "	"N"		"52313"	"520"		""	"NORMAL"	""	""	"999"	""	""	95	"NONAGRI"	"E"	"C"	"E"	"C"	"E"	"C"	"NF"	"OTHER PRIORITY SECTOR"	"RETAIL TRADE/SMALL BUSINESS"	74	""	"04"	""	"RETAIL TRADE"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F15B1	""	""				" "	"N"
2119	2779	"SUGARCANE(RATOON)"	"RATOON"	"RATOON"	"AGRICULTURE"	"FARM-CROP"	"CASH CROP"	"N"		"01104"	"103"		""	"NORMAL"	""	""	"999"	""	""		"AGRI"	"E"	"E"	"E"	"C"	"E"	"E"	"PD-AG"	"CROP LOANS"	"SUGARCANE(RATOON)"	92	""	"09"	""	"AGRICULTURE- FARM CROP LOANS"	"Y"	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F15B2	""	""				"FARM-CREDIT"	"N"
583	4221	"INDUSTRIAL MACHINERY"	"INDUS-MACHNRY-RTL"	"INDUS-MACHNRY-RTL"	"TRADING"	"RTL"	" "	"N"		"52319"	"520"		""	"NORMAL"	""	""	"700"	""	""	95	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"E"	"NF"	"OTHER PRIORITY SECTOR"	"MISCELLANEOUS"	79	""	"04"	""	"RETAIL TRADE"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F15B3	""	""				" "	"N"
1661	2788	"CAPSICUM"	"CAPSICUM"	"CAPSICUM"	"AGRICULTURE"	"FARM-CROP"	"CASH CROP"	"N"		"01108"	"109"		""	"NORMAL"	""	""	"999"	""	""		"AGRI"	"E"	"E"	"E"	"C"	"E"	"E"	"PD-AG"	"CROP LOANS"	"VEGETABLES"	93	"V"	"09"	""	"AGRICULTURE- FARM CROP LOANS"	"Y"	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F15B4	""	""				"FARM-CREDIT"	"N"
585	4223	"ALCOHOLIC BEVERAGES"	"ALCO-BEVERAGE-RTL"	"ALCO-BEVERAGE-RTL"	"TRADING"	"RTL"	" "	"N"		"52313"	"520"		""	"NORMAL"	""	""	"999"	""	""	95	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"C"	"NF"	"OTHER PRIORITY SECTOR"	"RETAIL TRADE/SMALL BUSINESS"	74	""	"04"	""	"RETAIL TRADE"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F15B5	""	""				" "	"N"
1667	2795	"BETELVINE(KARI & AMBADI)"	"BETELVINE"	"BETELVINE"	"AGRICULTURE"	"FARM-CROP"	"CASH CROP"	"N"		"01127"	"110"		""	"NORMAL"	""	""	"999"	""	""		"AGRI"	"E"	"E"	"E"	"C"	"E"	"E"	"PD-AG"	"PLANTATION/HORTICULTURE"	"MISCELLANEOUS"	29	""	"09"	""	"AGRICULTURE- FARM CROP LOANS"	"Y"	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F15B6	""	""				"FARM-CREDIT"	"N"
587	4225	"CATTLE TRADING"	"CATTLE-TRDG-RTL"	"CATTLE-TRDG-RTL"	"TRADING"	"RTL"	" "	"N"		"52319"	"520"		""	"NORMAL"	""	""	"999"	""	""	95	"NONAGRI"	"E"	"C"	"E"	"C"	"E"	"C"	"NF"	"OTHER PRIORITY SECTOR"	"RETAIL TRADE/SMALL BUSINESS"	74	""	"04"	""	"RETAIL TRADE"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F15B7	""	""				" "	"N"
1679	2808	"GREEN CHILIES"	"GREEN CHILIES"	"GREEN CHILIES"	"AGRICULTURE"	"FARM-CROP"	"CASH CROP"	"N"		"01108"	"109"		""	"NORMAL"	""	""	"999"	""	""		"AGRI"	"E"	"E"	"E"	"C"	"E"	"E"	"PD-AG"	"CROP LOANS"	"VEGETABLES"	93	"V"	"09"	""	"AGRICULTURE- FARM CROP LOANS"	"Y"	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F15B8	""	""				"FARM-CREDIT"	"N"
589	4227	"TEXTILES/CLOTHING/FOOTWEAR"	"TEXT-CLOT-FOOTWR-RTL"	"TEXT-CLOT-FOOTWR-RTL"	"TRADING"	"RTL"	" "	"Y"		"52313"	"520"		""	"NORMAL"	""	"51"	"999"	""	""		"NONAGRI"	""	""	""	""	""	""	""	""	""		""	"04"	""	"RETAIL TRADE"	""	"4227"	""	"R TRAD.-TEXTILES/CLOTHING/ FOOTWEAR"	""	""	""	1400	49999	""		""		""		00000000000F15B9	""	""				" "	"N"
1834	2812	"SOANF"	"SOANF"	"SOANF"	"AGRICULTURE"	"FARM-CROP"	"CASH CROP"	"N"		"01127"	"110"		""	"NORMAL"	""	""	"999"	""	""		"AGRI"	"E"	"E"	"E"	"E"	"E"	"E"	"PD-AG"	"MINOR IRRIGATION"	"BORE WELL WITH PUMP SETS"	2	""	"09"	""	"AGRICULTURE- FARM CROP LOANS"	"Y"	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F15BA	""	""				"FARM-CREDIT"	"N"
753	4659	"MISC COMPUTER RELATED ACTIVITIES"	"MISC-COMP-ACTVTY"	"MISC-COMP-ACTVTY"	"SERVICES"	"SERVICES"	" "	"N"		"72909"	"719"		""	"NORMAL"	""	""	"999"	""	""		"NONAGRI"	""	""	""	""	""	""	""	"NON FARM SECTOR & SSI"	"MISCELLANEOUS"	71	""	"06"	""	"SERVICES ACTIVITIES"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F15BB	""	""				" "	"N"
1861	2816	"LINT"	"LINT"	"LINT"	"AGRICULTURE"	"PLANTATION"	" "	"N"		"01127"	"110"		""	"NORMAL"	""	""	"999"	""	""		"AGRI"	"E"	"E"	"E"	"E"	"E"	"E"	"PD-AG"	"PLANTATION/HORTICULTURE"	"MISCELLANEOUS"	29	""	"09"	""	"AGRICULTURE-PLANTATION"	"Y"	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F15BC	""	""				"FARM-CREDIT"	"N"
755	4661	"COACHING CLASSES / TEACHING CLASSES"	"COACH-TEACHNG-CLSASS"	"COACH-TEACHNG-CLSASS"	"SERVICES"	"SERVICES"	" "	"N"		"80003"	"719"		""	"NORMAL"	""	""	"999"	""	""	95	"NONAGRI"	"E"	"E"	"E"	"E"	"E"	"E"	"NF"	"NON FARM SECTOR & SSI"	"MISCELLANEOUS"	71	""	"06"	""	"SERVICES ACTIVITIES"	""	""	""	""	""	""	""	1400	49999	""		"D2K"		""		00000000000F15BD	""	""				" "	"N"
