"IDENTITYKEY"	"USERID"	"DESCRIPTION"	"MODE_"	"STARTTIME"	"ENDTIME"	"TIMETAKEN_SEC"	"TIMEKEY"	"SETID"	"PROC_LOC"	"STATUSFLAG"
4918	"TF743"	"Upgrade_Customer_Account"	"COMPLETE"	15-APR-24 04.02.07.227000000 PM	15-APR-24 04.02.19.947000000 PM	12	27072	17	""	""
4919	"TF743"	"SMA_MARKING"	"COMPLETE"	15-APR-24 04.02.19.947000000 PM	15-APR-24 04.02.36.227000000 PM	17	27072	17	""	""
4920	"TF743"	"Marking_FlgPNPA"	"COMPLETE"	15-APR-24 04.02.36.227000000 PM	15-APR-24 04.02.42.587000000 PM	6	27072	17	""	""
4921	"TF743"	"Marking_NPA_Reason_NPAAccount"	"COMPLETE"	15-APR-24 04.02.42.587000000 PM	15-APR-24 04.02.53.760000000 PM	11	27072	17	""	""
4922	"TF743"	"UpdateProvisionKey_AccountWise"	"COMPLETE"	15-APR-24 04.02.53.760000000 PM	15-APR-24 04.03.04.807000000 PM	11	27072	17	""	""
4923	"TF743"	"UpdateNetBalance_AccountWise"	"COMPLETE"	15-APR-24 04.03.04.807000000 PM	15-APR-24 04.03.10.383000000 PM	6	27072	17	""	""
4924	"TF743"	"GovtGuarAppropriation"	"COMPLETE"	15-APR-24 04.03.10.383000000 PM	15-APR-24 04.03.14.180000000 PM	4	27072	17	""	""
4925	"TF743"	"SecurityAppropriation"	"COMPLETE"	15-APR-24 04.03.14.180000000 PM	15-APR-24 04.03.21.573000000 PM	7	27072	17	""	""
4926	"TF743"	"UpdateUsedRV"	"COMPLETE"	15-APR-24 04.03.21.573000000 PM	15-APR-24 04.03.26.807000000 PM	5	27072	17	""	""
4927	"TF743"	"ProvisionComputationSecured"	"COMPLETE"	15-APR-24 04.03.26.807000000 PM	15-APR-24 04.03.41.057000000 PM	15	27072	17	""	""
4928	"TF743"	"GovtGurCoverAmount"	"COMPLETE"	15-APR-24 04.03.41.057000000 PM	15-APR-24 04.03.43.447000000 PM	2	27072	17	""	""
4929	"TF743"	"UpdationProvisionComputationUnSecured"	"COMPLETE"	15-APR-24 04.03.43.447000000 PM	15-APR-24 04.03.57.573000000 PM	14	27072	17	""	""
4930	"TF743"	"UpdationTotalProvision"	"COMPLETE"	15-APR-24 04.03.57.573000000 PM	15-APR-24 04.04.15.073000000 PM	18	27072	17	""	""
4931	"TF743"	"Global table to Main Table"	"COMPLETE"	15-APR-24 04.04.15.650000000 PM	15-APR-24 04.04.29.720000000 PM	14	27072	18	""	""
4932	"TF743"	"InsertDataIntoHistTable"	"COMPLETE"	15-APR-24 04.04.29.720000000 PM	15-APR-24 04.04.41.533000000 PM	12	27072	18	""	""
5368	"TM1014"	"INSERT DATA FOR PRO.CUSTOMERCAL CAL TABLE"	"COMPLETE"	19-APR-24 12.55.17.940000000 PM	19-APR-24 12.55.24.330000000 PM	7	27073	19	""	""
5369	"TM1014"	"INSERT DATA IN ACCOUNTCAL TABLE"	"COMPLETE"	19-APR-24 12.55.24.330000000 PM	19-APR-24 12.55.36.893000000 PM	12	27073	19	""	""
5370	"TM1014"	"UPDATE PANNO"	"COMPLETE"	19-APR-24 12.55.36.893000000 PM	19-APR-24 12.55.37.033000000 PM	1	27073	19	""	""
5371	"TM1014"	"UPDATE AADHAR NUMBER IN CUSTOMER CAL"	"COMPLETE"	19-APR-24 12.55.37.033000000 PM	19-APR-24 12.55.37.190000000 PM	0	27073	19	""	""
5372	"TM1014"	"INSERT INVALID PANCARDNO|AADHARCARDNO"	"COMPLETE"	19-APR-24 12.55.37.190000000 PM	19-APR-24 12.55.37.283000000 PM	0	27073	19	""	""
5373	"TM1014"	"UPDATE ProductCode IN ACCOUNTCAL"	"COMPLETE"	19-APR-24 12.55.37.283000000 PM	19-APR-24 12.55.45.767000000 PM	8	27073	19	""	""
5374	"TM1014"	"UPDATE DRAWINGPOWER|REVIEWDUEDT FOR ALL ACCOUNT"	"COMPLETE"	19-APR-24 12.55.45.767000000 PM	19-APR-24 12.55.50.470000000 PM	5	27073	19	""	""
5375	"TM1014"	"UPDATE Asset_Norm|FacilityType ISLAD  ACCOUNT"	"COMPLETE"	19-APR-24 12.55.50.470000000 PM	19-APR-24 12.55.51.313000000 PM	1	27073	19	""	""
5376	"TM1014"	"UPDATE BANK ASSET CLASSIFICATION IN ACCOUNTCAL"	"COMPLETE"	19-APR-24 12.55.51.313000000 PM	19-APR-24 12.55.51.330000000 PM	0	27073	19	""	""
5377	"TM1014"	"UPDATE ContiExcessDt FOR CC ACCOUNT"	"COMPLETE"	19-APR-24 12.55.51.330000000 PM	19-APR-24 12.55.53.970000000 PM	2	27073	19	""	""
5378	"TM1014"	"UPDATE Balance,LastCrDate,CreditsinceDt FOR ALL ACCOUNT"	"COMPLETE"	19-APR-24 12.55.53.970000000 PM	19-APR-24 12.56.03.737000000 PM	10	27073	19	""	""
5379	"TM1014"	"UPDATE OVERDUE SINCE DATE DUE TO DPD MAX FOR VISION PLUS DATA ONLY"	"COMPLETE"	19-APR-24 12.56.04.127000000 PM	19-APR-24 12.56.06.487000000 PM	2	27073	19	""	""
5380	"TM1014"	"SrcAssetClass_Key key|SysAssetClassAlt_Key"	"COMPLETE"	19-APR-24 12.56.06.487000000 PM	19-APR-24 12.56.11.220000000 PM	5	27073	19	""	""
5381	"TM1014"	"UPDATE SYSASSETCLASSALT_KEY|SYSNPA_DT BY PAN NO"	"COMPLETE"	19-APR-24 12.56.11.220000000 PM	19-APR-24 12.56.11.220000000 PM	0	27073	19	""	""
10127	"TF743"	"MARKING OF ALWAYS STD Account LEVEL"	"COMPLETE"	12-AUG-24 06.23.32.160000000 PM	12-AUG-24 06.23.33.210000000 PM	1	27181	2	""	""
10128	"TF743"	"marking  always NPA account table level"	"COMPLETE"	12-AUG-24 06.23.33.210000000 PM	12-AUG-24 06.23.33.887000000 PM	0	27181	2	""	""
10129	"TF743"	"marking  always STD CUSTOMER  level"	"COMPLETE"	12-AUG-24 06.23.33.887000000 PM	12-AUG-24 06.23.34.260000000 PM	1	27181	2	""	""
10130	"TF743"	"marking  always NPA CUSTOMER table level"	"COMPLETE"	12-AUG-24 06.23.34.260000000 PM	12-AUG-24 06.23.34.357000000 PM	0	27181	2	""	""
10131	"TF743"	"UPDATE Accounts whose customer is in always standaed category"	"COMPLETE"	12-AUG-24 06.23.34.357000000 PM	12-AUG-24 06.23.34.517000000 PM	0	27181	2	""	""
10132	"TF743"	"UPDATE Accounts whose customer is in always NPA category"	"COMPLETE"	12-AUG-24 06.23.34.517000000 PM	12-AUG-24 06.23.34.660000000 PM	0	27181	2	""	""
10133	"TF743"	"CurrAssetClassAlt_Key update in Account Cal from customer Cal systemAssetclassalt_key"	"COMPLETE"	12-AUG-24 06.23.34.660000000 PM	12-AUG-24 06.23.42.370000000 PM	8	27181	2	""	""
10134	"TF743"	"UPDATE InitialNpaDt AND FinalNpaDt AT Account  level from customer to account"	"COMPLETE"	12-AUG-24 06.23.42.373000000 PM	12-AUG-24 06.23.47.983000000 PM	5	27181	2	""	""
10135	"TF743"	"marking always NPA account table level where vision plus  AccountBlockcode2=K"	"COMPLETE"	12-AUG-24 06.23.47.983000000 PM	12-AUG-24 06.23.48.960000000 PM	1	27181	2	""	""
10136	"TF743"	"marking always NPA account table level where WriteOffAmount>0"	"COMPLETE"	12-AUG-24 06.23.48.960000000 PM	12-AUG-24 06.23.56.457000000 PM	8	27181	2	""	""
10137	"TF743"	"UPDATE PrvQtrRV  AT Customer level"	"COMPLETE"	12-AUG-24 06.23.56.457000000 PM	12-AUG-24 06.23.57.203000000 PM	1	27181	2	""	""
10138	"TF743"	"UPDATE CurntQtrRv  AT Customer level"	"COMPLETE"	12-AUG-24 06.23.57.203000000 PM	12-AUG-24 06.23.57.867000000 PM	0	27181	2	""	""
10139	"TF743"	"UPDATE SECURITY FLAG WHERE SECURITY AT CUSTOMER LEVEL BUT  SecApp UNSECURED AT ACCOUNT LEVEL"	"RUNNING"	12-AUG-24 06.23.57.867000000 PM			27181	2	""	""
10140	"TF743"	"update FlgAbinitio MARK at account level"	"COMPLETE"	12-AUG-24 06.23.57.993000000 PM	12-AUG-24 06.23.58.047000000 PM	1	27181	2	""	""
10141	"TF743"	"update FlgFITL MARK at account level"	"COMPLETE"	12-AUG-24 06.23.58.050000000 PM	12-AUG-24 06.23.58.113000000 PM	0	27181	2	""	""
10142	"TF743"	"UPDATE OVERDUESINCEDT FROM BILL DETAIL TABLE "	"COMPLETE"	12-AUG-24 06.23.58.113000000 PM	12-AUG-24 06.23.58.747000000 PM	0	27181	2	""	""
10143	"TF743"	"UPDATE CoverGovGur BILL AT ACCOUNT LEVEL"	"COMPLETE"	12-AUG-24 06.23.58.750000000 PM	12-AUG-24 06.23.58.990000000 PM	0	27181	2	""	""
10144	"TF743"	"UPDATE CoverGovGur PC AT ACCOUNT LEVEL"	"COMPLETE"	12-AUG-24 06.23.58.990000000 PM	12-AUG-24 06.23.59.237000000 PM	1	27181	2	""	""
10145	"TF743"	"UPDATE CoverGovGur DL AT ACCOUNT LEVEL"	"COMPLETE"	12-AUG-24 06.23.59.237000000 PM	12-AUG-24 06.24.01.970000000 PM	2	27181	2	""	""
10146	"TF743"	"UPDATE CoverGovGur CC AT ACCOUNT LEVEL"	"COMPLETE"	12-AUG-24 06.24.01.970000000 PM	12-AUG-24 06.24.02.490000000 PM	1	27181	2	""	""
10147	"TF743"	"UPDATE PrvQtrInt,CurQtrInt,CurQtrCredit,PreQtrCredit"	"COMPLETE"	12-AUG-24 06.24.02.490000000 PM	12-AUG-24 06.24.10.843000000 PM	8	27181	2	""	""
10148	"TF743"	"UPDATE INTNOTSERVICEDDT IN ##ACCOUNTCAL"	"COMPLETE"	12-AUG-24 06.24.10.843000000 PM	12-AUG-24 06.24.12.373000000 PM	2	27181	2	""	""
10149	"TF743"	"OVERDUE SINCE DATE IS AVAILABLE BUT OVERDUE AMOUT IS ZERO"	"COMPLETE"	12-AUG-24 06.24.12.373000000 PM	12-AUG-24 06.24.12.373000000 PM	0	27181	2	""	""
10150	"TF743"	"Stock statement date Data Preperation"	"COMPLETE"	12-AUG-24 06.24.12.373000000 PM	12-AUG-24 06.24.12.423000000 PM	0	27181	2	""	""
10151	"TF743"	"update stock statement date in ##ACCOUNTCAL"	"COMPLETE"	12-AUG-24 06.24.12.423000000 PM	12-AUG-24 06.24.12.600000000 PM	0	27181	2	""	""
10152	"TF743"	"UPDATE DerecognisedInterest1 AMT IN ##ACCOUNTCAL"	"COMPLETE"	12-AUG-24 06.24.12.600000000 PM	12-AUG-24 06.24.12.863000000 PM	0	27181	2	""	""
10153	"TF743"	"UPDATE DerecognisedInterest2 AMT IN ##ACCOUNTCAL"	"COMPLETE"	12-AUG-24 06.24.12.867000000 PM	12-AUG-24 06.24.13.127000000 PM	1	27181	2	""	""
10154	"TF743"	"UPDATE GovGurAmt FROM ADVACOTHERDETAIL"	"COMPLETE"	12-AUG-24 06.24.13.127000000 PM	12-AUG-24 06.24.13.277000000 PM	0	27181	2	""	""
10155	"TF743"	"UPDATE UnserviedInt FROM AdvAcFinancialDetail"	"COMPLETE"	12-AUG-24 06.24.13.277000000 PM	12-AUG-24 06.24.13.277000000 PM	0	27181	2	""	""
10156	"TF743"	"UPDATE FRAUD ACCOUNT MARKING  IN ##ACCOUNTCAL"	"COMPLETE"	12-AUG-24 06.24.13.280000000 PM	12-AUG-24 06.24.13.330000000 PM	0	27181	2	""	""
10157	"TF743"	"UPDATE FRAUD ACCOUNT MARKING  IN ##CUSTOMERCAL"	"COMPLETE"	12-AUG-24 06.24.13.330000000 PM	12-AUG-24 06.24.13.567000000 PM	0	27181	2	""	""
10158	"TF743"	"UPDATE IBPC MARKING  IN ##ACCOUNTCAL"	"COMPLETE"	12-AUG-24 06.24.13.567000000 PM	12-AUG-24 06.24.13.637000000 PM	0	27181	2	""	""
10159	"TF743"	"UPDATE Securitised MARKING  IN ##ACCOUNTCAL"	"COMPLETE"	12-AUG-24 06.24.13.637000000 PM	12-AUG-24 06.24.13.667000000 PM	0	27181	2	""	""
10160	"TF743"	"UPDATE PUI MARKING  IN ##ACCOUNTCAL"	"COMPLETE"	12-AUG-24 06.24.13.670000000 PM	12-AUG-24 06.24.13.690000000 PM	0	27181	2	""	""
10161	"TF743"	"UPDATE RFA MARKING  IN ##ACCOUNTCAL"	"COMPLETE"	12-AUG-24 06.24.13.690000000 PM	12-AUG-24 06.24.13.737000000 PM	0	27181	2	""	""
10162	"TF743"	"UPDATE NonCooperative MARKING  IN ##ACCOUNTCAL"	"COMPLETE"	12-AUG-24 06.24.13.737000000 PM	12-AUG-24 06.24.13.797000000 PM	0	27181	2	""	""
10163	"TF743"	"UPDATE Repossessed ACCOUNT MARKING  IN ##ACCOUNTCAL"	"COMPLETE"	12-AUG-24 06.24.13.797000000 PM	12-AUG-24 06.24.14.110000000 PM	1	27181	2	""	""
10164	"TF743"	"UPDATE Inherent Weakness ACCOUNT MARKING  IN ##ACCOUNTCAL"	"COMPLETE"	12-AUG-24 06.24.14.110000000 PM	12-AUG-24 06.24.14.350000000 PM	0	27181	2	""	""
10165	"TF743"	"UPDATE SARFAESI ACCOUNT MARKING IN ##ACCOUNTCAL"	"COMPLETE"	12-AUG-24 06.24.14.353000000 PM	12-AUG-24 06.24.14.630000000 PM	0	27181	2	""	""
10166	"TF743"	"UPDATE RC-Pending MARKING  IN ##ACCOUNTCAL"	"COMPLETE"	12-AUG-24 06.24.14.630000000 PM	12-AUG-24 06.24.14.680000000 PM	0	27181	2	""	""
10167	"TF743"	"UPDATE Written-Off Accounts MARKING IN ##ACCOUNTCAL"	"COMPLETE"	12-AUG-24 06.24.14.680000000 PM	12-AUG-24 06.24.15.070000000 PM	1	27181	2	""	""
10168	"TF743"	"UPDATE CONDI_STD IN ##ACCOUNTCAL"	"COMPLETE"	12-AUG-24 06.24.15.070000000 PM	12-AUG-24 06.24.15.853000000 PM	0	27181	2	""	""
10169	"TF743"	"UPDATE Last Credit Date"	"COMPLETE"	12-AUG-24 06.24.15.853000000 PM	12-AUG-24 06.24.16.790000000 PM	1	27181	2	""	""
10170	"TF743"	"UPDATE AddlProvisionAmount  AT Account level"	"COMPLETE"	12-AUG-24 06.24.16.790000000 PM	12-AUG-24 06.24.16.790000000 PM	0	27181	2	""	""
10171	"TF743"	"MOC UPDATES AUTO AND MANUAL"	"COMPLETE"	12-AUG-24 06.24.20.107000000 PM	12-AUG-24 06.24.23.077000000 PM	3	27181	2	""	""
10172	"TF743"	"CoBorrower"	"COMPLETE"	12-AUG-24 06.24.23.080000000 PM	12-AUG-24 06.24.23.330000000 PM	0	27181	2	""	""
10173	"TF743"	"Global table to Main Table"	"COMPLETE"	13-AUG-24 05.38.01.330000000 PM	13-AUG-24 05.38.09.723000000 PM	8	27181	3	""	""
10174	"TF743"	"InsertDataIntoHistTable"	"RUNNING"	13-AUG-24 05.38.09.723000000 PM			27181	3	""	""
10175	"TF743"	"INSERT DATA FOR PRO.CUSTOMERCAL CAL TABLE"	"COMPLETE"	13-AUG-24 05.50.19.873000000 PM	13-AUG-24 05.50.25.180000000 PM	6	27182	1	""	""
10176	"TF743"	"INSERT DATA IN ACCOUNTCAL TABLE"	"COMPLETE"	13-AUG-24 05.50.25.180000000 PM	13-AUG-24 05.50.32.327000000 PM	7	27182	1	""	""
10177	"TF743"	"UPDATE PANNO"	"COMPLETE"	13-AUG-24 05.50.32.327000000 PM	13-AUG-24 05.50.32.460000000 PM	0	27182	1	""	""
10178	"TF743"	"UPDATE AADHAR NUMBER IN CUSTOMER CAL"	"COMPLETE"	13-AUG-24 05.50.32.463000000 PM	13-AUG-24 05.50.32.613000000 PM	0	27182	1	""	""
10179	"TF743"	"INSERT INVALID PANCARDNO|AADHARCARDNO"	"COMPLETE"	13-AUG-24 05.50.32.613000000 PM	13-AUG-24 05.50.32.710000000 PM	0	27182	1	""	""
10180	"TF743"	"UPDATE ProductCode IN ACCOUNTCAL"	"COMPLETE"	13-AUG-24 05.50.32.710000000 PM	13-AUG-24 05.50.40.197000000 PM	8	27182	1	""	""
10181	"TF743"	"UPDATE DRAWINGPOWER|REVIEWDUEDT FOR ALL ACCOUNT"	"COMPLETE"	13-AUG-24 05.50.40.200000000 PM	13-AUG-24 05.50.44.750000000 PM	4	27182	1	""	""
10182	"TF743"	"UPDATE Asset_Norm|FacilityType ISLAD  ACCOUNT"	"COMPLETE"	13-AUG-24 05.50.44.750000000 PM	13-AUG-24 05.50.45.707000000 PM	1	27182	1	""	""
10183	"TF743"	"UPDATE BANK ASSET CLASSIFICATION IN ACCOUNTCAL"	"COMPLETE"	13-AUG-24 05.50.45.707000000 PM	13-AUG-24 05.50.45.723000000 PM	0	27182	1	""	""
10184	"TF743"	"UPDATE ContiExcessDt FOR CC ACCOUNT"	"COMPLETE"	13-AUG-24 05.50.45.723000000 PM	13-AUG-24 05.50.57.820000000 PM	12	27182	1	""	""
10185	"TF743"	"UPDATE Balance,LastCrDate,CreditsinceDt FOR ALL ACCOUNT"	"COMPLETE"	13-AUG-24 05.50.57.823000000 PM	13-AUG-24 05.51.06.577000000 PM	9	27182	1	""	""
10186	"TF743"	"UPDATE OVERDUE SINCE DATE DUE TO DPD MAX FOR VISION PLUS DATA ONLY"	"COMPLETE"	13-AUG-24 05.51.07.520000000 PM	13-AUG-24 05.51.11.757000000 PM	4	27182	1	""	""
10187	"TF743"	"SrcAssetClass_Key key|SysAssetClassAlt_Key"	"COMPLETE"	13-AUG-24 05.51.11.757000000 PM	13-AUG-24 05.51.16.657000000 PM	5	27182	1	""	""
10188	"TF743"	"UPDATE SYSASSETCLASSALT_KEY|SYSNPA_DT BY PAN NO"	"COMPLETE"	13-AUG-24 05.51.16.657000000 PM	13-AUG-24 05.51.16.657000000 PM	0	27182	1	""	""
10189	"TF743"	"UPDATE SYSASSETCLASSALT_KEY|SYSNPA_DT BY AADHARCARD NO"	"COMPLETE"	13-AUG-24 05.51.16.657000000 PM	13-AUG-24 05.51.16.657000000 PM	0	27182	1	""	""
10190	"TF743"	"SplCatg Alt_Key ACCOUNT LEVEL"	"COMPLETE"	13-AUG-24 05.51.16.657000000 PM	13-AUG-24 05.51.19.463000000 PM	3	27182	1	""	""
10191	"TF743"	"UPDATE SplCatg Alt_Key CUSTOMER LEVEL"	"COMPLETE"	13-AUG-24 05.51.19.463000000 PM	13-AUG-24 05.51.20.633000000 PM	1	27182	1	""	""
10192	"TF743"	"MARKING OF ALWAYS STD Account LEVEL"	"COMPLETE"	13-AUG-24 05.51.20.633000000 PM	13-AUG-24 05.51.21.657000000 PM	1	27182	1	""	""
10193	"TF743"	"marking  always NPA account table level"	"COMPLETE"	13-AUG-24 05.51.21.660000000 PM	13-AUG-24 05.51.22.320000000 PM	1	27182	1	""	""
10194	"TF743"	"marking  always STD CUSTOMER  level"	"COMPLETE"	13-AUG-24 05.51.22.320000000 PM	13-AUG-24 05.51.22.660000000 PM	0	27182	1	""	""
10195	"TF743"	"marking  always NPA CUSTOMER table level"	"COMPLETE"	13-AUG-24 05.51.22.660000000 PM	13-AUG-24 05.51.22.757000000 PM	0	27182	1	""	""
10196	"TF743"	"UPDATE Accounts whose customer is in always standaed category"	"COMPLETE"	13-AUG-24 05.51.22.757000000 PM	13-AUG-24 05.51.22.920000000 PM	0	27182	1	""	""
10197	"TF743"	"UPDATE Accounts whose customer is in always NPA category"	"COMPLETE"	13-AUG-24 05.51.22.920000000 PM	13-AUG-24 05.51.23.067000000 PM	1	27182	1	""	""
10198	"TF743"	"CurrAssetClassAlt_Key update in Account Cal from customer Cal systemAssetclassalt_key"	"COMPLETE"	13-AUG-24 05.51.23.067000000 PM	13-AUG-24 05.51.27.657000000 PM	4	27182	1	""	""
10199	"TF743"	"UPDATE InitialNpaDt AND FinalNpaDt AT Account  level from customer to account"	"COMPLETE"	13-AUG-24 05.51.27.657000000 PM	13-AUG-24 05.51.30.340000000 PM	3	27182	1	""	""
10200	"TF743"	"marking always NPA account table level where vision plus  AccountBlockcode2=K"	"COMPLETE"	13-AUG-24 05.51.30.340000000 PM	13-AUG-24 05.51.31.393000000 PM	1	27182	1	""	""
10201	"TF743"	"marking always NPA account table level where WriteOffAmount>0"	"COMPLETE"	13-AUG-24 05.51.31.393000000 PM	13-AUG-24 05.51.39.120000000 PM	8	27182	1	""	""
10202	"TF743"	"UPDATE PrvQtrRV  AT Customer level"	"COMPLETE"	13-AUG-24 05.51.39.120000000 PM	13-AUG-24 05.51.39.877000000 PM	0	27182	1	""	""
10203	"TF743"	"UPDATE CurntQtrRv  AT Customer level"	"COMPLETE"	13-AUG-24 05.51.39.877000000 PM	13-AUG-24 05.51.40.527000000 PM	1	27182	1	""	""
10204	"TF743"	"UPDATE SECURITY FLAG WHERE SECURITY AT CUSTOMER LEVEL BUT  SecApp UNSECURED AT ACCOUNT LEVEL"	"RUNNING"	13-AUG-24 05.51.40.527000000 PM			27182	1	""	""
10205	"TF743"	"update FlgAbinitio MARK at account level"	"COMPLETE"	13-AUG-24 05.51.40.660000000 PM	13-AUG-24 05.51.40.737000000 PM	0	27182	1	""	""
10206	"TF743"	"update FlgFITL MARK at account level"	"COMPLETE"	13-AUG-24 05.51.40.740000000 PM	13-AUG-24 05.51.40.803000000 PM	0	27182	1	""	""
10207	"TF743"	"UPDATE OVERDUESINCEDT FROM BILL DETAIL TABLE "	"COMPLETE"	13-AUG-24 05.51.40.803000000 PM	13-AUG-24 05.51.41.470000000 PM	1	27182	1	""	""
10208	"TF743"	"UPDATE CoverGovGur BILL AT ACCOUNT LEVEL"	"COMPLETE"	13-AUG-24 05.51.41.470000000 PM	13-AUG-24 05.51.41.703000000 PM	0	27182	1	""	""
10209	"TF743"	"UPDATE CoverGovGur PC AT ACCOUNT LEVEL"	"COMPLETE"	13-AUG-24 05.51.41.703000000 PM	13-AUG-24 05.51.41.947000000 PM	0	27182	1	""	""
10210	"TF743"	"UPDATE CoverGovGur DL AT ACCOUNT LEVEL"	"COMPLETE"	13-AUG-24 05.51.41.947000000 PM	13-AUG-24 05.51.44.820000000 PM	3	27182	1	""	""
10211	"TF743"	"UPDATE CoverGovGur CC AT ACCOUNT LEVEL"	"COMPLETE"	13-AUG-24 05.51.44.820000000 PM	13-AUG-24 05.51.45.403000000 PM	1	27182	1	""	""
10212	"TF743"	"UPDATE PrvQtrInt,CurQtrInt,CurQtrCredit,PreQtrCredit"	"COMPLETE"	13-AUG-24 05.51.45.403000000 PM	13-AUG-24 05.51.53.967000000 PM	8	27182	1	""	""
10213	"TF743"	"UPDATE INTNOTSERVICEDDT IN ##ACCOUNTCAL"	"COMPLETE"	13-AUG-24 05.51.53.967000000 PM	13-AUG-24 05.51.55.543000000 PM	2	27182	1	""	""
10214	"TF743"	"OVERDUE SINCE DATE IS AVAILABLE BUT OVERDUE AMOUT IS ZERO"	"COMPLETE"	13-AUG-24 05.51.55.543000000 PM	13-AUG-24 05.51.55.543000000 PM	0	27182	1	""	""
10215	"TF743"	"Stock statement date Data Preperation"	"COMPLETE"	13-AUG-24 05.51.55.543000000 PM	13-AUG-24 05.51.55.593000000 PM	0	27182	1	""	""
10216	"TF743"	"update stock statement date in ##ACCOUNTCAL"	"COMPLETE"	13-AUG-24 05.51.55.593000000 PM	13-AUG-24 05.51.55.783000000 PM	0	27182	1	""	""
10217	"TF743"	"UPDATE DerecognisedInterest1 AMT IN ##ACCOUNTCAL"	"COMPLETE"	13-AUG-24 05.51.55.783000000 PM	13-AUG-24 05.51.56.057000000 PM	1	27182	1	""	""
10218	"TF743"	"UPDATE DerecognisedInterest2 AMT IN ##ACCOUNTCAL"	"COMPLETE"	13-AUG-24 05.51.56.057000000 PM	13-AUG-24 05.51.56.337000000 PM	0	27182	1	""	""
10219	"TF743"	"UPDATE GovGurAmt FROM ADVACOTHERDETAIL"	"COMPLETE"	13-AUG-24 05.51.56.337000000 PM	13-AUG-24 05.51.56.493000000 PM	0	27182	1	""	""
10220	"TF743"	"UPDATE UnserviedInt FROM AdvAcFinancialDetail"	"COMPLETE"	13-AUG-24 05.51.56.493000000 PM	13-AUG-24 05.51.56.493000000 PM	0	27182	1	""	""
10221	"TF743"	"UPDATE FRAUD ACCOUNT MARKING  IN ##ACCOUNTCAL"	"COMPLETE"	13-AUG-24 05.51.56.493000000 PM	13-AUG-24 05.51.56.547000000 PM	0	27182	1	""	""
10222	"TF743"	"UPDATE FRAUD ACCOUNT MARKING  IN ##CUSTOMERCAL"	"COMPLETE"	13-AUG-24 05.51.56.547000000 PM	13-AUG-24 05.51.56.743000000 PM	0	27182	1	""	""
10223	"TF743"	"UPDATE IBPC MARKING  IN ##ACCOUNTCAL"	"COMPLETE"	13-AUG-24 05.51.56.743000000 PM	13-AUG-24 05.51.56.767000000 PM	0	27182	1	""	""
10224	"TF743"	"UPDATE Securitised MARKING  IN ##ACCOUNTCAL"	"COMPLETE"	13-AUG-24 05.51.56.767000000 PM	13-AUG-24 05.51.56.787000000 PM	0	27182	1	""	""
10225	"TF743"	"UPDATE PUI MARKING  IN ##ACCOUNTCAL"	"COMPLETE"	13-AUG-24 05.51.56.790000000 PM	13-AUG-24 05.51.56.807000000 PM	0	27182	1	""	""
10226	"TF743"	"UPDATE RFA MARKING  IN ##ACCOUNTCAL"	"COMPLETE"	13-AUG-24 05.51.56.807000000 PM	13-AUG-24 05.51.56.853000000 PM	0	27182	1	""	""
10227	"TF743"	"UPDATE NonCooperative MARKING  IN ##ACCOUNTCAL"	"COMPLETE"	13-AUG-24 05.51.56.853000000 PM	13-AUG-24 05.51.56.900000000 PM	0	27182	1	""	""
10228	"TF743"	"UPDATE Repossessed ACCOUNT MARKING  IN ##ACCOUNTCAL"	"COMPLETE"	13-AUG-24 05.51.56.900000000 PM	13-AUG-24 05.51.57.203000000 PM	1	27182	1	""	""
10229	"TF743"	"UPDATE Inherent Weakness ACCOUNT MARKING  IN ##ACCOUNTCAL"	"COMPLETE"	13-AUG-24 05.51.57.203000000 PM	13-AUG-24 05.51.57.447000000 PM	0	27182	1	""	""
10230	"TF743"	"UPDATE SARFAESI ACCOUNT MARKING IN ##ACCOUNTCAL"	"COMPLETE"	13-AUG-24 05.51.57.447000000 PM	13-AUG-24 05.51.57.747000000 PM	0	27182	1	""	""
10231	"TF743"	"UPDATE RC-Pending MARKING  IN ##ACCOUNTCAL"	"COMPLETE"	13-AUG-24 05.51.57.747000000 PM	13-AUG-24 05.51.57.793000000 PM	0	27182	1	""	""
10232	"TF743"	"UPDATE Written-Off Accounts MARKING IN ##ACCOUNTCAL"	"COMPLETE"	13-AUG-24 05.51.57.793000000 PM	13-AUG-24 05.51.58.180000000 PM	1	27182	1	""	""
10233	"TF743"	"UPDATE CONDI_STD IN ##ACCOUNTCAL"	"COMPLETE"	13-AUG-24 05.51.58.180000000 PM	13-AUG-24 05.51.58.993000000 PM	0	27182	1	""	""
10234	"TF743"	"UPDATE Last Credit Date"	"COMPLETE"	13-AUG-24 05.51.58.993000000 PM	13-AUG-24 05.52.00.007000000 PM	2	27182	1	""	""
10235	"TF743"	"UPDATE AddlProvisionAmount  AT Account level"	"COMPLETE"	13-AUG-24 05.52.00.007000000 PM	13-AUG-24 05.52.00.007000000 PM	0	27182	1	""	""
10236	"TF743"	"MOC UPDATES AUTO AND MANUAL"	"COMPLETE"	13-AUG-24 05.52.03.397000000 PM	13-AUG-24 05.52.06.503000000 PM	3	27182	1	""	""
10237	"TF743"	"CoBorrower"	"COMPLETE"	13-AUG-24 05.52.06.503000000 PM	13-AUG-24 05.52.06.853000000 PM	0	27182	1	""	""
